"County","State","Outbreak Date","Flock Type","Flock Size"
"Piute","Utah","11-15-2024","Commercial Turkey Meat Bird","35000"
"Stanislaus","California","11-15-2024","Commercial Turkey Meat Bird","21500"
"Honolulu","Hawaii","11-15-2024","WOAH Non-Poultry","70"
"Cass","Michigan","11-15-2023","WOAH Non-Poultry","20"
"Mcintosh","North Dakota","11-15-2023","WOAH Poultry","100"
"Lamoure","North Dakota","11-15-2023","Commercial Turkey Meat Bird","25100"
"Edmunds","South Dakota","11-15-2023","Commercial Turkey Breeder Replacement Hens","24500"
"Bledsoe","Tennessee","11-15-2022","Commercial Broiler Breeder","20900"
"Duval","Florida","11-15-2022","WOAH Non-Poultry","30"
"Otter Tail","Minnesota","11-15-2022","Commercial Turkey Meat Bird","28200"
"Weld","Colorado","11-14-2024","WOAH Non-Poultry","80"
"San Joaquin","California","11-14-2024","Commercial Broiler Production","29100"
"Kings","California","11-14-2024","Commercial Broiler Production","279300"
"Merced","California","11-14-2024","Commercial Turkey Meat Bird","53200"
"Kings","California","11-14-2024","Commercial Broiler Production","53300"
