"County","State","Outbreak Date","Flock Type","Flock Size"
"Snohomish","Washington","06-02-2022","WOAH Non-Poultry","30"
"Berks","Pennsylvania","06-02-2022","Commercial Duck Meat Bird","30100"
"Toombs","Georgia","06-01-2022","WOAH Non-Poultry","490"
"Stearns","Minnesota","05-31-2024","Commercial Turkey Meat Bird","43000"
"Richland","South Carolina","05-31-2024","WOAH Non-Poultry","30"
"Becker","Minnesota","05-31-2022","WOAH Non-Poultry","40"
"Stearns","Minnesota","05-29-2024","Commercial Turkey Meat Bird","32400"
"Sioux","Iowa","05-28-2024","Commercial Table Egg Layer","4287400"
"Snohomish","Washington","05-27-2022","WOAH Non-Poultry","40"
"King","Washington","05-25-2022","WOAH Non-Poultry","20"
"Ada","Idaho","05-24-2022","WOAH Non-Poultry","30"
"King","Washington","05-24-2022","WOAH Non-Poultry","7"
"King","Washington","05-24-2022","WOAH Non-Poultry","180"
"Berks","Pennsylvania","05-23-2022","Commercial Duck Breeder","4700"
"Bayfield","Wisconsin","05-23-2022","WOAH Non-Poultry","40"
"Morrison","Minnesota","05-21-2024","Commercial Turkey Meat Bird","51900"
"Stearns","Minnesota","05-21-2024","Commercial Turkey Meat Bird","7000"
"Stearns","Minnesota","05-21-2024","Commercial Turkey Meat Bird","17100"
"Stearns","Minnesota","05-21-2024","Commercial Turkey Breeder Hens","6800"
"Meeker","Minnesota","05-21-2024","Commercial Table Egg Layer","1368800"
"Dakota","Minnesota","05-21-2022","Commercial Turkey Meat Bird","54400"
"Jerome","Idaho","05-20-2024","WOAH Poultry","80"
"Polk","Minnesota","05-20-2022","WOAH Non-Poultry","50"
"Ada","Idaho","05-20-2022","WOAH Non-Poultry","7"
"Codington","South Dakota","05-20-2022","WOAH Poultry","80"
"Campbell","Wyoming","05-20-2022","WOAH Non-Poultry","30"
"Jefferson","Colorado","05-19-2022","WOAH Non-Poultry","10"
"Allen","Indiana","05-19-2022","WOAH Non-Poultry","7"
"Ada","Idaho","05-19-2022","WOAH Non-Poultry","30"
"Canyon","Idaho","05-19-2022","WOAH Non-Poultry","10"
"Ada","Idaho","05-19-2022","WOAH Poultry","70"
"Canyon","Idaho","05-19-2022","WOAH Non-Poultry","10"
"Rowan","North Carolina","05-18-2023","WOAH Non-Poultry","30"
"Phelps","Missouri","05-18-2023","WOAH Non-Poultry","80"
"Kandiyohi","Minnesota","05-18-2022","Commercial Turkey Breeder Toms","4700"
"Clay","Minnesota","05-18-2022","WOAH Non-Poultry","20"
"Canyon","Idaho","05-18-2022","WOAH Poultry","160"
"Ada","Idaho","05-18-2022","WOAH Non-Poultry","6"
"Berks","Pennsylvania","05-18-2022","Commercial Duck Breeder","7200"
"Canyon","Idaho","05-18-2022","WOAH Poultry","6"
"Canyon","Idaho","05-18-2022","WOAH Non-Poultry","10"
"Ada","Idaho","05-17-2022","WOAH Poultry","9"
"Canyon","Idaho","05-17-2022","WOAH Poultry","30"
"Berks","Pennsylvania","05-17-2022","Commercial Table Egg Layer","79000"
"Canyon","Idaho","05-17-2022","WOAH Poultry","30"
"Lane","Oregon","05-17-2022","WOAH Poultry","450"
"Salt Lake","Utah","05-17-2022","WOAH Non-Poultry","30"
"Ada","Idaho","05-17-2022","WOAH Non-Poultry","20"
"Burke","North Dakota","05-17-2022","WOAH Non-Poultry","50"
"Thurston","Washington","05-17-2022","WOAH Non-Poultry","410"
"Boone","Illinois","05-17-2022","WOAH Non-Poultry","20"
"Canyon","Idaho","05-17-2022","WOAH Non-Poultry","50"
"Monmouth","New Jersey","05-17-2022","WOAH Poultry","60"
"Dunn","Wisconsin","05-16-2022","WOAH Non-Poultry","150"
"Berks","Pennsylvania","05-14-2022","Commercial Table Egg Breeder","83700"
"Canyon","Idaho","05-13-2022","WOAH Non-Poultry","9"
"Ada","Idaho","05-13-2022","WOAH Non-Poultry","60"
"Marinette","Wisconsin","05-13-2022","WOAH Non-Poultry","90"
"Lincoln","Wyoming","05-13-2022","WOAH Non-Poultry","40"
"Barron","Wisconsin","05-13-2022","Commercial Turkey Meat Bird","10500"
"Sheridan","Wyoming","05-13-2022","WOAH Non-Poultry","20"
"Grant","Minnesota","05-12-2022","WOAH Non-Poultry","310"
"Ada","Idaho","05-12-2022","WOAH Non-Poultry","10"
"Okanogan","Washington","05-12-2022","WOAH Non-Poultry","20"
"Chisago","Minnesota","05-12-2022","WOAH Non-Poultry","40"
"Whatcom","Washington","05-12-2022","WOAH Non-Poultry","80"
"Nobles","Minnesota","05-11-2023","WOAH Non-Poultry","100"
"Clallam","Washington","05-11-2022","WOAH Non-Poultry","10"
"Clallam","Washington","05-11-2022","WOAH Non-Poultry","10"
"Pierce","Washington","05-11-2022","WOAH Non-Poultry","20"
"Chisago","Minnesota","05-11-2022","WOAH Poultry","160"
"Cache","Utah","05-11-2022","WOAH Non-Poultry","20"
"Ada","Idaho","05-11-2022","WOAH Non-Poultry","4"
"Ionia","Michigan","05-10-2024","WOAH Non-Poultry","90"
"Jerome","Idaho","05-10-2024","WOAH Non-Poultry","20"
"Jerome","Idaho","05-10-2024","WOAH Poultry","1100"
"Lancaster","Pennsylvania","05-10-2022","Commercial Table Egg Layer","72300"
"Ada","Idaho","05-10-2022","WOAH Poultry","70"
"Pierce","Washington","05-10-2022","WOAH Non-Poultry","20"
"Todd","Minnesota","05-10-2022","WOAH Non-Poultry","50"
"Muskegon","Michigan","05-10-2022","Commercial Turkey Meat Bird","35100"
"Berks","Pennsylvania","05-10-2022","Commercial Duck Meat Bird","37300"
"Crow Wing","Minnesota","05-10-2022","WOAH Poultry","150"
"Berks","Pennsylvania","05-10-2022","Commercial Duck Breeder","23800"
"San Francisco","California","05-09-2024","Live Bird Market","700"
"Canyon","Idaho","05-09-2022","WOAH Poultry","50"
"Barron","Wisconsin","05-07-2022","Commercial Turkey Meat Bird","20100"
"Spokane","Washington","05-07-2022","WOAH Non-Poultry","80"
"Cassia","Idaho","05-06-2024","WOAH Non-Poultry","600"
"Oakland","Michigan","05-06-2022","WOAH Non-Poultry","50"
"Anoka","Minnesota","05-06-2022","WOAH Non-Poultry","10"
"Fergus","Montana","05-06-2022","WOAH Non-Poultry","20"
"Posey","Indiana","05-05-2023","WOAH Non-Poultry","20"
"Pacific","Washington","05-05-2022","WOAH Poultry","40"
"Linn","Oregon","05-05-2022","WOAH Non-Poultry","90"
"Pierce","Wisconsin","05-05-2022","WOAH Non-Poultry","30"
"Hamlin","South Dakota","05-04-2022","WOAH Non-Poultry","20"
"Carver","Minnesota","05-04-2022","WOAH Non-Poultry","30"
"Day","South Dakota","05-04-2022","WOAH Poultry","80"
"Bremer","Iowa","05-04-2022","WOAH Non-Poultry","50"
"Barron","Wisconsin","05-03-2022","Commercial Turkey Meat Bird","19300"
"Lyon","Minnesota","05-03-2022","Commercial Turkey Meat Bird","120300"
"Kane","Illinois","05-03-2022","WOAH Non-Poultry","50"
"Chisago","Minnesota","05-03-2022","WOAH Non-Poultry","30"
"Polk","Wisconsin","05-03-2022","WOAH Non-Poultry","120"
"Barron","Wisconsin","05-03-2022","Commercial Turkey Meat Bird","46700"
"Fond Du Lac","Wisconsin","05-03-2022","WOAH Non-Poultry","20"
"Berks","Pennsylvania","05-03-2022","Commercial Duck Breeder","29600"
"Beadle","South Dakota","05-03-2022","Commercial Turkey Meat Bird","56200"
"Sauk","Wisconsin","05-03-2022","WOAH Non-Poultry","40"
"Berks","Pennsylvania","05-03-2022","Commercial Duck Meat Bird","74300"
"Dodge","Minnesota","05-02-2024","Commercial Breeder Operation","14100"
"Gratiot","Michigan","05-02-2024","Commercial Turkey Meat Bird","26400"
"Clay","Florida","04-30-2024","WOAH Non-Poultry","20"
"Chisago","Minnesota","04-30-2022","WOAH Non-Poultry","30"
"Sequoyah","Oklahoma","04-30-2022","Commercial Broiler Breeder","13800"
"Chisago","Minnesota","04-30-2022","WOAH Non-Poultry","60"
"Morrison","Minnesota","04-30-2022","WOAH Non-Poultry","50"
"Branch","Michigan","04-30-2022","WOAH Non-Poultry","20"
"Oconto","Wisconsin","04-29-2022","WOAH Non-Poultry","220"
"Washington","Nebraska","04-29-2022","WOAH Non-Poultry","50"
"Barron","Wisconsin","04-29-2022","WOAH Non-Poultry","150"
"Matanuska Susitna","Alaska","04-29-2022","WOAH Non-Poultry","30"
"Stearns","Minnesota","04-29-2022","Commercial Turkey Breeder Hens","9600"
"Gallatin","Montana","04-29-2022","WOAH Non-Poultry","20"
"Fergus","Montana","04-29-2022","WOAH Non-Poultry","110"
"Pondera","Montana","04-29-2022","WOAH Non-Poultry","2000"
"Lancaster","Pennsylvania","04-29-2022","Commercial Duck Meat Bird","19300"
"Weld","Colorado","04-29-2022","Commercial Table Egg Layer","1366200"
"Carver","Minnesota","04-28-2022","WOAH Non-Poultry","20"
"Johnson","Indiana","04-28-2022","WOAH Non-Poultry","40"
"Wexford","Michigan","04-28-2022","WOAH Poultry","70"
"Barron","Wisconsin","04-28-2022","Commercial Turkey Meat Bird","110700"
"Swift","Minnesota","04-28-2022","WOAH Non-Poultry","20"
"Caledonia","Vermont","04-28-2022","WOAH Non-Poultry","30"
"Republic","Kansas","04-27-2022","WOAH Poultry","110"
"Lancaster","Pennsylvania","04-27-2022","Commercial Broiler Breeder Pullets","18100"
"Saginaw","Michigan","04-27-2022","WOAH Non-Poultry","80"
"Knox","Nebraska","04-27-2022","Commercial Table Egg Layer","2118000"
"Gratiot","Michigan","04-26-2024","Commercial Turkey Meat Bird","27700"
"Missoula","Montana","04-26-2022","WOAH Non-Poultry","70"
"Lancaster","Pennsylvania","04-26-2022","Commercial Table Egg Layer","307400"
"Kossuth","Iowa","04-26-2022","WOAH Non-Poultry","4"
"Richland","North Dakota","04-26-2022","WOAH Poultry","20"
"Cassia","Idaho","04-25-2024","WOAH Non-Poultry","40"
"Stearns","Minnesota","04-25-2022","Commercial Turkey Meat Bird","14600"
"Cache","Utah","04-25-2022","Commercial Table Egg Layer","1501200"
"Rice","Minnesota","04-25-2022","WOAH Non-Poultry","90"
"Menominee","Michigan","04-25-2022","WOAH Non-Poultry","40"
"Ottawa","Michigan","04-24-2024","Commercial Turkey Meat Bird","104000"
"Routt","Colorado","04-24-2023","WOAH Non-Poultry","20"
"Polk","Wisconsin","04-23-2022","WOAH Non-Poultry","40"
"Swift","Minnesota","04-22-2022","Commercial Turkey Meat Bird","127400"
"Otter Tail","Minnesota","04-22-2022","Commercial Turkey Meat Bird","27300"
"Yellow Medicine","Minnesota","04-22-2022","Commercial Turkey Meat Bird","49500"
"Lancaster","Pennsylvania","04-22-2022","Commercial Broiler Production","50300"
"Morrison","Minnesota","04-21-2022","Commercial Turkey Meat Bird","40900"
"Bremer","Iowa","04-21-2022","Commercial Turkey Meat Bird","29200"
"Todd","Minnesota","04-21-2022","Commercial Turkey Meat Bird","37000"
"Todd","Minnesota","04-21-2022","Commercial Turkey Meat Bird","19700"
"Richland","North Dakota","04-21-2022","Commercial Turkey Meat Bird","27500"
"Renville","North Dakota","04-21-2022","WOAH Non-Poultry","70"
"Lancaster","Pennsylvania","04-20-2022","Commercial Table Egg Layer","1127700"
"Elkhart","Indiana","04-20-2022","Commercial Duck Meat Bird","6600"
"Todd","Minnesota","04-20-2022","Commercial Turkey Meat Bird","30300"
"Glacier","Montana","04-20-2022","WOAH Poultry","54200"
"Lancaster","Pennsylvania","04-20-2022","Commercial Table Egg Layer","879400"
"Madison","Idaho","04-20-2022","WOAH Poultry","200"
"Todd","Minnesota","04-20-2022","Commercial Turkey Meat Bird","30100"
"Stearns","Minnesota","04-20-2022","Commercial Turkey Meat Bird","72000"
"Stearns","Minnesota","04-20-2022","Commercial Turkey Meat Bird","62800"
"Dickey","North Dakota","04-19-2023","Commercial Turkey Meat Bird","58500"
"Beadle","South Dakota","04-19-2023","Commercial Turkey Meat Bird","75800"
"Morrison","Minnesota","04-19-2022","Commercial Turkey Meat Bird","17600"
"Swift","Minnesota","04-19-2022","Commercial Turkey Meat Bird","31600"
"Otter Tail","Minnesota","04-19-2022","Commercial Turkey Meat Bird","29700"
"Morrison","Minnesota","04-19-2022","Commercial Turkey Meat Bird","58100"
"Kandiyohi","Minnesota","04-19-2022","Commercial Turkey Meat Bird","35700"
"Stutsman","North Dakota","04-19-2022","WOAH Poultry","20"
"Kandiyohi","Minnesota","04-19-2022","Commercial Turkey Meat Bird","38700"
"Gooding","Idaho","04-19-2022","WOAH Non-Poultry","80"
"La Plata","Colorado","04-19-2022","WOAH Poultry","40"
"Meeker","Minnesota","04-19-2022","Commercial Turkey Meat Bird","53000"
"Morrison","Minnesota","04-19-2022","Commercial Turkey Meat Bird","47700"
"Montrose","Colorado","04-19-2022","Commercial Broiler Breeder","58000"
"Kings","New York","04-18-2023","Live Bird Market","1400"
"Newaygo","Michigan","04-17-2024","Commercial Turkey Meat Bird","67200"
"Roosevelt","New Mexico","04-17-2024","Commercial Breeder (Multiple Bird Species)","51800"
"Moffat","Colorado","04-17-2023","WOAH Non-Poultry","80"
"Putnam","New York","04-17-2023","WOAH Poultry","110"
"Bonneville","Idaho","04-17-2023","WOAH Non-Poultry","40"
"Ionia","Michigan","04-16-2024","Commercial Table Egg Layer","2422700"
"Menominee","Michigan","04-16-2022","WOAH Non-Poultry","30"
"Miami-dade","Florida","04-15-2024","Live Bird Market","90"
"Roosevelt","New Mexico","04-15-2024","Commercial Breeder (Multiple Bird Species)","15900"
"Utah","Utah","04-15-2022","WOAH Non-Poultry","7"
"Livingston","Michigan","04-15-2022","WOAH Non-Poultry","20"
"Polk","Wisconsin","04-15-2022","Commercial Turkey Meat Bird","22000"
"Lancaster","Pennsylvania","04-15-2022","Commercial Table Egg Layer","1380500"
"Macomb","Michigan","04-15-2022","WOAH Non-Poultry","40"
"Sheridan","Nebraska","04-14-2023","WOAH Non-Poultry","10"
"Rosebud","Montana","04-14-2023","WOAH Non-Poultry","0"
"Gooding","Idaho","04-14-2022","WOAH Poultry","20"
"Sheboygan","Wisconsin","04-14-2022","WOAH Non-Poultry","20"
"Columbia","Wisconsin","04-14-2022","WOAH Non-Poultry","70"
"Lamoure","North Dakota","04-14-2022","WOAH Non-Poultry","10"
"Blue Earth","Minnesota","04-14-2022","Commercial Turkey Meat Bird","26400"
"Meeker","Minnesota","04-14-2022","Commercial Turkey Meat Bird","73200"
"Elkhart","Indiana","04-14-2022","Commercial Duck Breeder","6400"
"Caribou","Idaho","04-14-2022","WOAH Non-Poultry","7"
"Menominee","Michigan","04-13-2022","WOAH Poultry","350"
"Mcpherson","Kansas","04-13-2022","Commercial Turkey Breeder Hens","6900"
"Otter Tail","Minnesota","04-13-2022","Commercial Turkey Meat Bird","35700"
"Deuel","South Dakota","04-13-2022","Commercial Upland Gamebird Producer","1400"
"Benton","Minnesota","04-13-2022","WOAH Non-Poultry","7"
"Waseca","Minnesota","04-13-2022","Commercial Turkey Meat Bird","20300"
"Blue Earth","Minnesota","04-13-2022","Commercial Turkey Meat Bird","22700"
"Barnes","North Dakota","04-13-2022","WOAH Poultry","90"
"Roosevelt","New Mexico","04-12-2024","Commercial Breeder (Multiple Bird Species)","61500"
"Putnam","New York","04-12-2023","WOAH Poultry","200"
"Modoc","California","04-12-2023","WOAH Non-Poultry","60"
"Pueblo","Colorado","04-12-2023","WOAH Non-Poultry","30"
"Sheridan","North Dakota","04-12-2022","WOAH Non-Poultry","30"
"Yellow Medicine","Minnesota","04-12-2022","Commercial Turkey Meat Bird","44800"
"Morrison","Minnesota","04-12-2022","Commercial Table Egg Layer","216200"
"Morrison","Minnesota","04-12-2022","Commercial Turkey Meat Bird","37600"
"Toole","Montana","04-12-2022","WOAH Non-Poultry","20"
"Wayne","North Carolina","04-12-2022","Commercial Broiler Production","89700"
"Benton","Minnesota","04-12-2022","WOAH Non-Poultry","130"
"Morrison","Minnesota","04-12-2022","Commercial Broiler Production","42900"
"Barron","Wisconsin","04-12-2022","Commercial Turkey Meat Bird","46500"
"Kandiyohi","Minnesota","04-12-2022","Commercial Turkey Meat Bird","37100"
"Dixon","Nebraska","04-12-2022","Commercial Table Egg Layer","1746900"
"Meeker","Minnesota","04-11-2024","Commercial Turkey Meat Bird","68500"
"Menominee","Michigan","04-11-2022","WOAH Non-Poultry","70"
"Grant","Kansas","04-10-2024","WOAH Poultry","17700"
"Mitchell","Kansas","04-10-2023","WOAH Non-Poultry","30"
"Ionia","Michigan","04-09-2024","Commercial Table Egg Layer","2147500"
"Le Sueur","Minnesota","04-09-2022","Commercial Turkey Meat Bird","37800"
"Yankton","South Dakota","04-09-2022","Commercial Turkey Meat Bird","76100"
"Stearns","Minnesota","04-09-2022","Commercial Turkey Meat Bird","26100"
"Swift","Minnesota","04-09-2022","Commercial Turkey Meat Bird","130900"
"Renville","Minnesota","04-08-2022","Commercial Turkey Meat Bird","76400"
"Edmunds","South Dakota","04-08-2022","Commercial Turkey Meat Bird","36400"
"Stutsman","North Dakota","04-08-2022","WOAH Poultry","40"
"Pitkin","Colorado","04-08-2022","WOAH Poultry","30"
"Elkhart","Indiana","04-08-2022","Commercial Duck Breeder","4700"
"Clark","South Dakota","04-08-2022","Commercial Turkey Meat Bird","38700"
"Otter Tail","Minnesota","04-08-2022","Commercial Turkey Meat Bird","29900"
"Wayne","North Carolina","04-07-2022","Commercial Turkey Meat Bird","18500"
"Cascade","Montana","04-07-2022","WOAH Poultry","22000"
"Racine","Wisconsin","04-07-2022","WOAH Poultry","220"
"Judith Basin","Montana","04-07-2022","WOAH Non-Poultry","20"
"Kandiyohi","Minnesota","04-07-2022","Commercial Turkey Breeder Hens","20800"
"Wayne","North Carolina","04-06-2022","Commercial Broiler Production","216000"
"Fulton","New York","04-06-2022","WOAH Non-Poultry","4"
"Wayne","North Carolina","04-06-2022","Commercial Broiler Production","65600"
"Dade","Missouri","04-06-2022","Commercial Turkey Meat Bird","14000"
"Mcpherson","South Dakota","04-06-2022","Commercial Turkey Meat Bird","45900"
"Waseca","Minnesota","04-06-2022","Commercial Turkey Meat Bird","17900"
"Park","Wyoming","04-06-2022","WOAH Non-Poultry","100"
"Queens","New York","04-05-2023","Live Bird Market","1300"
"Orleans","New York","04-05-2022","WOAH Poultry","30"
"Stearns","Minnesota","04-05-2022","Commercial Turkey Meat Bird","40800"
"Faulk","South Dakota","04-05-2022","Commercial Turkey Meat Bird","48000"
"Sheridan","Wyoming","04-05-2022","WOAH Non-Poultry","50"
"Lawrence","Missouri","04-05-2022","Commercial Turkey Meat Bird","27600"
"Waseca","Minnesota","04-05-2022","Commercial Turkey Meat Bird","25500"
"Clark","South Dakota","04-05-2022","Commercial Turkey Meat Bird","24000"
"Scotts Bluff","Nebraska","04-05-2022","WOAH Non-Poultry","30"
"Hardin","Iowa","04-05-2022","Commercial Turkey Meat Bird","46000"
"Spink","South Dakota","04-05-2022","Commercial Turkey Meat Bird","26300"
"Morrison","Minnesota","04-05-2022","Commercial Turkey Meat Bird","26200"
"Cass","North Dakota","04-05-2022","WOAH Non-Poultry","110"
"Morrison","Minnesota","04-05-2022","Commercial Turkey Meat Bird","105300"
"Wayne","North Carolina","04-05-2022","Commercial Turkey Meat Bird","14200"
"Waldo","Maine","04-05-2022","WOAH Non-Poultry","50"
"Big Stone","Minnesota","04-05-2022","Commercial Turkey Meat Bird","49500"
"Beadle","South Dakota","04-05-2022","Commercial Turkey Meat Bird","55600"
"Meeker","Minnesota","04-05-2022","Commercial Turkey Meat Bird","128500"
"Becker","Minnesota","04-04-2022","Commercial Turkey Meat Bird","44700"
"Kandiyohi","Minnesota","04-04-2022","Commercial Turkey Breeder Hens","20400"
"Morrison","Minnesota","04-04-2022","Commercial Turkey Meat Bird","32400"
"Mcpherson","South Dakota","04-04-2022","Commercial Turkey Meat Bird","61000"
"Kandiyohi","Minnesota","04-04-2022","Commercial Turkey Breeder Hens","48500"
"Lamoure","North Dakota","04-04-2022","Commercial Turkey Meat Bird","50900"
"Kandiyohi","Minnesota","04-04-2022","Commercial Turkey Meat Bird","38500"
"Hamilton","Iowa","04-04-2022","Commercial Turkey Poult Supplier","8100"
"Le Sueur","Minnesota","04-03-2023","WOAH Non-Poultry","100"
"Dodge","Minnesota","04-03-2022","Commercial Turkey Meat Bird","20000"
"Le Sueur","Minnesota","04-03-2022","Commercial Turkey Meat Bird","19600"
"Erath","Texas","04-03-2022","Commercial Upland Gamebird Producer","1700"
"Ionia","Michigan","04-02-2024","Commercial Table Egg Layer","1928500"
"Parmer","Texas","04-02-2024","Commercial Table Egg Layer","1894100"
"Johnston","North Carolina","04-02-2022","Commercial Turkey Meat Bird","9500"
"Stearns","Minnesota","04-02-2022","Commercial Turkey Meat Bird","27600"
"Sac","Iowa","04-02-2022","Commercial Turkey Meat Bird","37200"
"Lake","South Dakota","04-02-2022","Commercial Turkey Meat Bird","59000"
"Spink","South Dakota","04-02-2022","Commercial Turkey Meat Bird","41800"
"Wayne","North Carolina","04-02-2022","Commercial Turkey Meat Bird","16900"
"Humboldt","Iowa","04-02-2022","Commercial Table Egg Breeder","15300"
"Lamoure","North Dakota","04-02-2022","Commercial Turkey Meat Bird","27400"
"Johnston","North Carolina","04-02-2022","Commercial Turkey Meat Bird","18900"
"Edmunds","South Dakota","04-01-2022","Commercial Turkey Breeder Replacement Hens","30600"
"Dickey","North Dakota","04-01-2022","Commercial Turkey Meat Bird","60700"
"Charles Mix","South Dakota","04-01-2022","Commercial Turkey Meat Bird","81500"
"Jasper","Missouri","04-01-2022","Commercial Turkey Meat Bird","35300"
"Fremont","Wyoming","04-01-2022","WOAH Non-Poultry","50"
"Rock","Wisconsin","04-01-2022","WOAH Non-Poultry","20"
"Stearns","Minnesota","03-31-2022","WOAH Non-Poultry","150"
"Mcpherson","South Dakota","03-31-2022","Commercial Turkey Breeder Hens","26000"
"Dickey","North Dakota","03-31-2022","WOAH Poultry","30"
"Morrison","Minnesota","03-31-2022","Commercial Turkey Meat Bird","52600"
"Carroll","Illinois","03-31-2022","WOAH Non-Poultry","40"
"Cherokee","Iowa","03-31-2022","Commercial Turkey Meat Bird","88000"
"Osceola","Iowa","03-31-2022","Commercial Table Egg Layer","5011700"
"Umatilla","Oregon","03-30-2023","WOAH Non-Poultry","50"
"Buena Vista","Iowa","03-30-2022","Commercial Turkey Meat Bird","35600"
"Lincoln","Maine","03-30-2022","WOAH Non-Poultry","3"
"Park","Wyoming","03-30-2022","WOAH Non-Poultry","40"
"Brule","South Dakota","03-30-2022","Commercial Turkey Meat Bird","55100"
"Lac Qui Parle","Minnesota","03-29-2022","Commercial Turkey Meat Bird","22500"
"Knox","Maine","03-29-2022","WOAH Non-Poultry","40"
"Bon Homme","South Dakota","03-29-2022","Commercial Turkey Meat Bird","48200"
"Edmunds","South Dakota","03-29-2022","Commercial Turkey Breeder Hens","21900"
"Spink","South Dakota","03-29-2022","Commercial Turkey Meat Bird","45900"
"Johnston","North Carolina","03-29-2022","Commercial Turkey Meat Bird","32100"
"Johnson","Wyoming","03-29-2022","WOAH Non-Poultry","40"
"Franklin","Ohio","03-29-2022","WOAH Non-Poultry","8"
"Monroe","New York","03-29-2022","WOAH Poultry","400"
"Berkshire","Massachusetts","03-29-2022","WOAH Non-Poultry","260"
"Kidder","North Dakota","03-29-2022","WOAH Poultry","30"
"Kandiyohi","Minnesota","03-29-2022","Commercial Turkey Meat Bird","39500"
"Guilford","North Carolina","03-28-2024","WOAH Non-Poultry","80"
"Yuma","Colorado","03-28-2023","WOAH Poultry","310"
"Hamilton","Iowa","03-28-2022","Commercial Turkey Meat Bird","25800"
"Guthrie","Iowa","03-28-2022","Commercial Table Egg Layer","1460000"
"Clark","South Dakota","03-27-2022","Commercial Turkey Meat Bird","43100"
"Hutchinson","South Dakota","03-27-2022","Commercial Turkey Meat Bird","39200"
"Mcpherson","South Dakota","03-27-2022","Commercial Turkey Meat Bird","43900"
"Bon Homme","South Dakota","03-26-2022","WOAH Non-Poultry","230"
"Holt","Nebraska","03-26-2022","WOAH Non-Poultry","50"
"Washington","Maine","03-26-2022","WOAH Non-Poultry","20"
"Stearns","Minnesota","03-26-2022","Commercial Turkey Meat Bird","23500"
"Gentry","Missouri","03-26-2022","WOAH Non-Poultry","140"
"Mower","Minnesota","03-26-2022","WOAH Non-Poultry","20"
"Meeker","Minnesota","03-26-2022","Commercial Turkey Meat Bird","287500"
"Franklin","Iowa","03-25-2022","Commercial Table Egg Pullets","250200"
"Suffolk","New York","03-25-2022","WOAH Poultry","290"
"Hutchinson","South Dakota","03-25-2022","Commercial Turkey Meat Bird","45800"
"Mitchell","Kansas","03-25-2022","WOAH Non-Poultry","20"
"Arapahoe","Colorado","03-24-2023","WOAH Non-Poultry","10"
"Ellsworth","Kansas","03-24-2023","WOAH Non-Poultry","50"
"Buena Vista","Iowa","03-24-2022","Commercial Turkey Meat Bird","53800"
"Butler","Nebraska","03-24-2022","Commercial Broiler Production","418500"
"Macomb","Michigan","03-24-2022","WOAH Non-Poultry","70"
"Jerauld","South Dakota","03-24-2022","Commercial Turkey Meat Bird","44000"
"Lapeer","Michigan","03-23-2023","WOAH Poultry","950"
"Beadle","South Dakota","03-23-2022","Commercial Turkey Meat Bird","49900"
"Kingsbury","South Dakota","03-23-2022","Commercial Table Egg Layer","120300"
"Edmunds","South Dakota","03-23-2022","Commercial Turkey Breeder Hens","30800"
"Suffolk","New York","03-23-2022","Commercial Upland Gamebird Producer","8500"
"Spink","South Dakota","03-22-2023","Commercial Upland Gamebird Producer","570"
"Queens","New York","03-22-2023","Live Bird Market","140"
"Klamath","Oregon","03-22-2023","WOAH Non-Poultry","30"
"Hale","Texas","03-22-2023","WOAH Non-Poultry","20"
"Tompkins","New York","03-22-2023","WOAH Poultry","6500"
"Cumberland","Maine","03-22-2022","WOAH Poultry","250"
"Charles Mix","South Dakota","03-22-2022","Commercial Turkey Meat Bird","53800"
"Hanson","South Dakota","03-22-2022","Commercial Turkey Meat Bird","94600"
"Butler","Nebraska","03-22-2022","Commercial Broiler Production","570000"
"Beadle","South Dakota","03-22-2022","Commercial Turkey Meat Bird","29400"
"Hillsborough","Florida","03-21-2023","Live Bird Market","340"
"Washington","New York","03-21-2023","WOAH Non-Poultry","50"
"Deaf Smith","Texas","03-20-2024","WOAH Non-Poultry","50"
"Warren","Iowa","03-20-2022","WOAH Non-Poultry","10"
"Hutchinson","South Dakota","03-20-2022","Commercial Turkey Meat Bird","50400"
"York","Maine","03-19-2022","WOAH Non-Poultry","70"
"Knox","Maine","03-19-2022","WOAH Non-Poultry","20"
"Knox","Maine","03-18-2024","WOAH Non-Poultry","40"
"Hanson","South Dakota","03-18-2022","Commercial Turkey Meat Bird","20200"
"Dickinson","Kansas","03-18-2022","WOAH Poultry","250"
"Kingsbury","South Dakota","03-18-2022","Commercial Turkey Meat Bird","39200"
"Cecil","Maryland","03-18-2022","Commercial Table Egg Pullets","315400"
"Lancaster","Pennsylvania","03-17-2023","WOAH Poultry","2500"
"Buena Vista","Iowa","03-17-2022","Commercial Table Egg Layer","5347500"
"Kent","Delaware","03-17-2022","Commercial Broiler Production","147800"
"Lincoln","Maine","03-17-2022","WOAH Non-Poultry","30"
"Sedgwick","Kansas","03-17-2022","WOAH Non-Poultry","6"
"Maries","Missouri","03-16-2023","WOAH Non-Poultry","10"
"Lancaster","Pennsylvania","03-16-2023","WOAH Poultry","1600"
"Lancaster","Pennsylvania","03-16-2023","WOAH Poultry","2400"
"Monroe","Mississippi","03-16-2023","WOAH Non-Poultry","30"
"Chester","Pennsylvania","03-16-2023","Commercial Turkey Meat Bird","11800"
"Rockingham","New Hampshire","03-16-2022","WOAH Non-Poultry","150"
"Chickasaw","Iowa","03-15-2023","WOAH Non-Poultry","50"
"Mifflin","Pennsylvania","03-15-2023","WOAH Non-Poultry","60"
